State,Year,Crude oil production (thousands of barrels)
Wyoming,2022,91013
West Virginia,2022,16278
Virginia,2022,5
Utah,2022,46481
Texas,2022,1840014
Tennessee,2022,148
South Dakota,2022,955
Pennsylvania,2022,4906
Oklahoma,2022,151780
Ohio,2022,21960
North Dakota,2022,385985
New York,2022,236
New Mexico,2022,574217
Nevada,2022,229
Nebraska,2022,1593
Montana,2022,20558
Missouri,2022,67
Mississippi,2022,12677
Michigan,2022,4544
Louisiana,2022,36468
Kentucky,2022,2193
Kansas,2022,28346
Indiana,2022,1713
Illinois,2022,6925
Idaho,2022,38
Florida,2022,1224
Colorado,2022,157443
California,2022,122427
Arkansas,2022,4401
Arizona,2022,6
Alaska,2022,159611
Alabama,2022,3820
Wyoming,2021,85429
West Virginia,2021,18241
Virginia,2021,5
Utah,2021,35488
Texas,2021,1739660
Tennessee,2021,157
South Dakota,2021,1028
Pennsylvania,2021,6253
Oklahoma,2021,143025
Ohio,2021,18688
North Dakota,2021,405128
New York,2021,147
New Mexico,2021,457200
Nevada,2021,218
Nebraska,2021,1706
Montana,2021,18994
Missouri,2021,60
Mississippi,2021,13434
Michigan,2021,4339
Louisiana,2021,34719
Kentucky,2021,2464
Kansas,2021,27905
Indiana,2021,1523
Illinois,2021,7057
Idaho,2021,25
Florida,2021,1490
Colorado,2021,153423
California,2021,134612
Arkansas,2021,4211
Arizona,2021,6
Alaska,2021,159623
Alabama,2021,4289
Wyoming,2020,89056
West Virginia,2020,19059
Virginia,2020,5
Utah,2020,31001
Texas,2020,1773050
Tennessee,2020,152
South Dakota,2020,1047
Pennsylvania,2020,5532
Oklahoma,2020,173217
Ohio,2020,23864
North Dakota,2020,433564
New York,2020,147
New Mexico,2020,375419
Nevada,2020,196
Nebraska,2020,1674
Montana,2020,19085
Missouri,2020,62
Mississippi,2020,14166
Michigan,2020,4132
Louisiana,2020,36697
Kentucky,2020,2265
Kansas,2020,28261
Indiana,2020,1402
Illinois,2020,7150
Idaho,2020,1
Florida,2020,1488
Colorado,2020,171635
California,2020,142221
Arkansas,2020,4143
Arizona,2020,5
Alaska,2020,163852
Alabama,2020,4294
Wyoming,2019,102104
West Virginia,2019,16797
Virginia,2019,6
Utah,2019,36695
Texas,2019,1850715
Tennessee,2019,201
South Dakota,2019,1166
Pennsylvania,2019,6557
Oklahoma,2019,211808
Ohio,2019,28039
North Dakota,2019,518874
New York,2019,274
New Mexico,2019,329483
Nevada,2019,267
Nebraska,2019,1910
Montana,2019,22967
Missouri,2019,85
Mississippi,2019,16878
Michigan,2019,5092
Louisiana,2019,45923
Kentucky,2019,2505
Kansas,2019,33193
Indiana,2019,1579
Illinois,2019,8243
Idaho,2019,22
Florida,2019,1705
Colorado,2019,189707
California,2019,161485
Arkansas,2019,4610
Arizona,2019,7
Alaska,2019,169947
Alabama,2019,4857
Wyoming,2018,87945
West Virginia,2018,11618
Virginia,2018,5
Utah,2018,37117
Texas,2018,1608926
Tennessee,2018,210
South Dakota,2018,1273
Pennsylvania,2018,6478
Oklahoma,2018,199557
Ohio,2018,22775
North Dakota,2018,460438
New York,2018,221
New Mexico,2018,248879
Nevada,2018,255
Nebraska,2018,2056
Montana,2018,21551
Missouri,2018,96
Mississippi,2018,16953
Michigan,2018,5433
Louisiana,2018,48102
Kentucky,2018,2265
Kansas,2018,34715
Indiana,2018,1684
Illinois,2018,8420
Idaho,2018,88
Florida,2018,1839
Colorado,2018,171357
California,2018,169166
Arkansas,2018,5005
Arizona,2018,11
Alaska,2018,174801
Alabama,2018,5884
Wyoming,2017,75706
West Virginia,2017,8627
Virginia,2017,7
Utah,2017,34438
Texas,2017,1273558
Tennessee,2017,271
South Dakota,2017,1304
Pennsylvania,2017,6562
Oklahoma,2017,165955
Ohio,2017,20010
North Dakota,2017,390663
New York,2017,184
New Mexico,2017,172154
Nevada,2017,286
Nebraska,2017,2125
Montana,2017,20717
Missouri,2017,116
Mississippi,2017,17783
Michigan,2017,5521
Louisiana,2017,52310
Kentucky,2017,2477
Kansas,2017,35825
Indiana,2017,1779
Illinois,2017,8314
Idaho,2017,91
Florida,2017,1923
Colorado,2017,136447
California,2017,173403
Arkansas,2017,5288
Arizona,2017,13
Alaska,2017,180547
Alabama,2017,6827
Wyoming,2016,72667
West Virginia,2016,7636
Virginia,2016,7
Utah,2016,30528
Texas,2016,1167369
Tennessee,2016,257
South Dakota,2016,1406
Pennsylvania,2016,6272
Oklahoma,2016,155228
Ohio,2016,21600
North Dakota,2016,377809
New York,2016,225
New Mexico,2016,146634
Nevada,2016,277
Nebraska,2016,2288
Montana,2016,23178
Missouri,2016,123
Mississippi,2016,20386
Michigan,2016,5639
